nama_fasilitas,jenis_fasilitas,latitude,longitude,provinsi,kota_kabupaten
RS Medirosa,hospital,-6.2993856,107.1452333,Jawa Barat,Bekasi
Puskesmas Parung,hospital,-6.4202641,106.7329122,Jawa Barat,Bogor
Apotik Sawangan,pharmacy,-6.4043242,106.7419064,Jawa Barat,Depok
Klinik Tugu Sawangan,clinic,-6.4021264,106.7713038,Jawa Barat,Depok
Rumah Sakit Jiwa Hurip Waluya,hospital,-6.8835946,107.5941316,Jawa Barat,Kota Bandung
Rumah Sakit Ginjal,hospital,-6.8852642,107.6200766,Jawa Barat,Kota Bandung
Rumah Sakit Sukapura,hospital,-6.9361248,107.6567933,Jawa Barat,Kota Bandung
Puskesmas Astana Anyar,clinic,-6.9293073,107.6004821,Jawa Barat,Kota Bandung
Drug Store,pharmacy,-6.1213858,106.8411693,Daerah Khusus Ibukota Jakarta,DKI Jakarta
RS Islam,hospital,-6.2821122,107.2836929,Jawa Barat,Karawang
Bidan Murni,doctors,-6.6320106,106.8261945,Jawa Barat,Kota Bogor
Apotek Deli,pharmacy,-6.6272185,106.8224206,Jawa Barat,Kota Bogor
Posyandu Gandamekar 1,clinic,-7.295651,107.790692,Jawa Barat,Garut
Puskesmas Bayongbong,clinic,-7.2691,107.814624,Jawa Barat,Garut
Klinik 24 Jam,doctors,-6.6474079,106.8428135,Jawa Barat,Kota Bogor
Puskesmas Pangalengan,clinic,-7.1765292,107.5710694,Jawa Barat,Bandung
Puskesmas Kec. Kota Baru,hospital,-6.4000828,107.4794156,Jawa Barat,Karawang
Clementine,pharmacy,-6.9237429,107.6249886,Jawa Barat,Kota Bandung
K24,pharmacy,-6.9159466,107.6305461,Jawa Barat,Kota Bandung
Tidak bernama,hospital,-7.6257048,108.1359919,Jawa Barat,Tasikmalaya
Apotek Generik,pharmacy,-6.3071967,106.9351334,Jawa Barat,Kota Bekasi
Doctor Darman,doctors,-6.3033736,106.9320137,Jawa Barat,Kota Bekasi
"Dr. Antonius S, SpA, MHA, PhD",doctors,-6.3045228,106.9327614,Jawa Barat,Kota Bekasi
Drg. Laura M.P,dentist,-6.3045051,106.9327754,Jawa Barat,Kota Bekasi
UPTD Puskesmas Jati Warna,clinic,-6.3054297,106.9321642,Jawa Barat,Kota Bekasi
Dokter Gigi Halim W. Husada,dentist,-6.225432,106.8558369,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dokter Gigi Gunawan,dentist,-6.2257823,106.8547392,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Dokter Wida,hospital,-6.4194862,106.7546424,Jawa Barat,Depok
RS Jatisampurna,hospital,-6.3469747,106.9257805,Jawa Barat,Kota Bekasi
Klinik Devina Medika,hospital,-6.3460411,106.9482189,Jawa Barat,Kota Bekasi
Klinik Avia Medika,hospital,-6.3425907,106.9498244,Jawa Barat,Kota Bekasi
Praktek dokter umum pagi,hospital,-6.5501119,106.7987274,Jawa Barat,Kota Bogor
Puskesmas Bojong Kulur,hospital,-6.3308611,106.9709198,Jawa Barat,Bogor
RS. Juanda,hospital,-6.9730847,108.4913933,Jawa Barat,Kuningan
Kimia Farma,pharmacy,-6.9193074,106.9277414,Jawa Barat,Kota Sukabumi
Kimia Farma,pharmacy,-6.3985352,106.8136989,Jawa Barat,Depok
Kimia Farma,pharmacy,-6.8905707,107.6164334,Jawa Barat,Kota Bandung
Puskesmas,hospital,-6.8970637,107.6072151,Jawa Barat,Kota Bandung
Bd Tini,hospital,-6.3225216,107.312362,Jawa Barat,Karawang
Kimia Farma,pharmacy,-6.3947413,106.7941814,Jawa Barat,Depok
Klinik Inawati Kemakmuran,clinic,-6.3998835,106.8361707,Jawa Barat,Depok
J & J Dental Care,dentist,-6.2508956,106.7917531,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Puskesmas Nagreg,hospital,-7.0189556,107.8851036,Jawa Barat,Bandung
Bidan,clinic,-6.4271398,106.7431714,Jawa Barat,Depok
Tiskara SpBM,dentist,-6.8588491,107.9166363,Jawa Barat,Sumedang
"Yordian Yahya, SpS",doctors,-6.8589298,107.9188561,Jawa Barat,Sumedang
Pakuwon,hospital,-6.8571913,107.9237692,Jawa Barat,Sumedang
KSR,hospital,-6.8884504,107.5251138,Jawa Barat,Cimahi
Tidak bernama,pharmacy,-6.3046228,106.8499758,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Puskesmas Rusun Marunda,clinic,-6.0941794,106.9644265,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Dokter Gigi,dentist,-6.8766908,107.6179827,Jawa Barat,Kota Bandung
Klinik Abinaya,clinic,-6.8684168,107.6207149,Jawa Barat,Kota Bandung
Cipta Farma,pharmacy,-6.9243594,107.6259934,Jawa Barat,Kota Bandung
Puskesmas Bojongsoang,clinic,-6.9694356,107.6354167,Jawa Barat,Bandung
Klinik Dokter Nurdin,hospital,-6.5168501,107.2287075,Jawa Barat,Karawang
Apotek Bona Farma,pharmacy,-6.8720655,107.5945806,Jawa Barat,Kota Bandung
Apotek Sumber Sehat,pharmacy,-7.7282513,108.4739628,Jawa Barat,Ciamis
BRATACO,clinic,-6.9138207,107.6442248,Jawa Barat,Kota Bandung
Laboratorium Klinik PRAMITA,clinic,-6.9083821,107.6245158,Jawa Barat,Kota Bandung
UPT Layanan Kesehatan ITB – Bumi Medika Ganesa ITB,doctors,-6.8945081,107.6114806,Jawa Barat,Kota Bandung
Apotek Roxy,pharmacy,-6.1487625,106.824143,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Parahita Diagnostic Center,clinic,-6.258652,106.8286463,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik MHT Kalideres,clinic,-6.1469746,106.7023202,Daerah Khusus Ibukota Jakarta,DKI Jakarta
CHC Clinic,clinic,-6.1846306,106.8317067,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Yes Care,pharmacy,-6.1867969,106.8308451,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Wellness Clinic,clinic,-6.2573131,106.8152215,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Semanggi Specialist Clinic,clinic,-6.2208075,106.8139768,Daerah Khusus Ibukota Jakarta,DKI Jakarta
My Dentist Dental Clinic,clinic,-6.2456824,106.7925395,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Suci Husada,clinic,-6.2717215,106.8673571,Daerah Khusus Ibukota Jakarta,DKI Jakarta
RS Umum Bella,hospital,-6.2471625,107.0105409,Jawa Barat,Kota Bekasi
Rumah Sakit Simpangan Depok,hospital,-6.4087799,106.8616926,Jawa Barat,Depok
cideres,hospital,-6.7609853,108.1954767,Jawa Barat,Majalengka
Poliklinik Umum Yayasan Yakdi Al-Amin Medika,clinic,-6.350972,107.0066052,Jawa Barat,Kota Bekasi
Klinik Global medika,clinic,-6.8818506,107.5748257,Jawa Barat,Kota Bandung
Apotek Zeta,pharmacy,-6.9123112,107.5780044,Jawa Barat,Kota Bandung
Puskesmas Garuda,hospital,-6.9113899,107.5773781,Jawa Barat,Kota Bandung
Apotek Rajawali,pharmacy,-6.9122192,107.5737557,Jawa Barat,Kota Bandung
Rumah Sakit Gigi dan Mulut Maranatha,hospital,-6.886821,107.5812491,Jawa Barat,Kota Bandung
Merc,pharmacy,-6.893772,107.6353587,Jawa Barat,Kota Bandung
Apotek Sidomukti,pharmacy,-6.8928605,107.6347733,Jawa Barat,Kota Bandung
Kimia Farma,pharmacy,-6.9061492,107.6042804,Jawa Barat,Kota Bandung
Klinik Gigi Bandung FDC Kopo,dentist,-6.9648015,107.5764494,Jawa Barat,Bandung
Puskesmas,clinic,-5.9995064,107.0879842,Jawa Barat,Karawang
Puskesmas,clinic,-6.0548431,107.2477222,Jawa Barat,Karawang
Puskesmas,clinic,-6.0751496,107.1738281,Jawa Barat,Karawang
Puskesmas,clinic,-6.0940601,107.3691884,Jawa Barat,Karawang
Puskesmas,clinic,-6.1176141,107.2732247,Jawa Barat,Karawang
Puskesmas,clinic,-6.1375224,107.4097613,Jawa Barat,Karawang
Puskesmas,clinic,-6.1465248,107.3353913,Jawa Barat,Karawang
Puskesmas,clinic,-6.1776966,107.3402421,Jawa Barat,Karawang
Puskesmas,clinic,-6.1857242,107.4443087,Jawa Barat,Karawang
Puskesmas,clinic,-6.1965752,107.3348971,Jawa Barat,Karawang
Puskesmas,clinic,-6.2074566,107.3228782,Jawa Barat,Karawang
Puskesmas,clinic,-6.2193173,107.5348117,Jawa Barat,Karawang
Puskesmas,clinic,-6.2490322,107.5978477,Jawa Barat,Karawang
Puskesmas,clinic,-6.2577098,107.5308418,Jawa Barat,Karawang
Puskesmas,clinic,-6.2642619,107.5513842,Jawa Barat,Karawang
Puskesmas,clinic,-6.2874647,107.452458,Jawa Barat,Karawang
Puskesmas,clinic,-6.2986992,107.5669878,Jawa Barat,Karawang
Puskesmas,clinic,-6.2997337,107.3667995,Jawa Barat,Karawang
Puskesmas,clinic,-6.3002056,107.2921122,Jawa Barat,Karawang
Puskesmas,clinic,-6.3229461,107.5597096,Jawa Barat,Karawang
Puskesmas,clinic,-6.3367441,107.3139557,Jawa Barat,Karawang
Puskesmas,clinic,-6.3508471,107.4660994,Jawa Barat,Karawang
Puskesmas,clinic,-6.3514442,107.3414773,Jawa Barat,Karawang
Puskesmas,clinic,-6.3682599,107.3704014,Jawa Barat,Karawang
Puskesmas,clinic,-6.3711916,107.5221699,Jawa Barat,Karawang
Puskesmas,clinic,-6.3732259,107.2234225,Jawa Barat,Karawang
Puskesmas Cikampek,clinic,-6.4048406,107.4517487,Jawa Barat,Karawang
Puskesmas,clinic,-6.4145396,107.4881236,Jawa Barat,Karawang
Puskesmas,clinic,-6.4177758,107.3679006,Jawa Barat,Karawang
Puskesmas,clinic,-6.5226867,107.1721462,Jawa Barat,Karawang
RS Annisa,hospital,-6.4828569,106.8703423,Jawa Barat,Bogor
Cibeunying,pharmacy,-6.9113032,107.6382103,Jawa Barat,Kota Bandung
Natasha Skin Care,clinic,-6.9031498,107.6278431,Jawa Barat,Kota Bandung
ERHA Clinic,hospital,-6.9038215,107.6209995,Jawa Barat,Kota Bandung
AIRIN BEAUTY CARE,hospital,-6.9213387,107.6585757,Jawa Barat,Kota Bandung
Bunda Dental Clinic,dentist,-6.2761575,106.9882286,Jawa Barat,Kota Bekasi
Apotek Kimia Farma,pharmacy,-6.2761871,106.9882731,Jawa Barat,Kota Bekasi
Apotek Planet Baru,pharmacy,-6.9228524,107.5985445,Jawa Barat,Kota Bandung
Apotek Legenda Sehat,pharmacy,-6.3088133,107.0256389,Jawa Barat,Kota Bekasi
Apotek Century,hospital,-6.3110271,107.0220939,Jawa Barat,Kota Bekasi
Klinik Tirta Husada,clinic,-6.4180514,106.8264991,Jawa Barat,Depok
Poliklinik Telkom University,clinic,-6.9734055,107.6293418,Jawa Barat,Bandung
Tidak bernama,hospital,-6.4130005,106.9732307,Jawa Barat,Bogor
Kimia Farma,pharmacy,-6.7171905,108.5593433,Jawa Barat,Kota Cirebon
Tidak bernama,clinic,-6.1521292,106.8259367,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,doctors,-6.1693384,106.717631,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,dentist,-6.599833,106.7786452,Jawa Barat,Kota Bogor
Apotik ABBA,pharmacy,-6.2823654,106.8721679,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Sanders,hospital,-6.2572548,107.1451097,Jawa Barat,Bekasi
Tidak bernama,clinic,-6.2690755,107.0016781,Jawa Barat,Kota Bekasi
Apotek K24 Kiaracondong,pharmacy,-6.9339826,107.6425772,Jawa Barat,Kota Bandung
Posyandu Anyelir II,clinic,-6.2463706,106.8567314,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,clinic,-6.4712826,106.848833,Jawa Barat,Bogor
Tidak bernama,doctors,-6.4666852,106.8543053,Jawa Barat,Bogor
Posyandu Al Muwwanah,clinic,-6.203523,106.8622199,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.2385283,106.8761526,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 06,clinic,-6.2386618,106.8735504,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Teratai,clinic,-6.2108719,106.8651047,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Bougenvile,clinic,-6.2116375,106.8640109,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Flamboyan,clinic,-6.2146755,106.868844,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Swaderi,clinic,-6.2116884,106.8717394,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Bunga Tanjung,clinic,-6.2099568,106.8625192,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cendrawasih,clinic,-6.2181462,106.8807379,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kepodang,clinic,-6.2190068,106.8783461,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Sakura,clinic,-6.2460101,106.8595551,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Pipit,clinic,-6.2190653,106.8758068,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Camar,clinic,-6.2201694,106.8815875,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati Sari,clinic,-6.2085458,106.8712355,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.2053641,106.8670264,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.2002132,106.8562088,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu GSI,clinic,-6.1986059,106.8674747,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kemuning,clinic,-6.2015701,106.8643297,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 10,clinic,-6.1953928,106.9211866,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kenanga RW 013,clinic,-6.2376313,106.8915012,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Matahari RW 01/VII,clinic,-6.2348528,106.8858773,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Flamboyan RW 02,clinic,-6.2295721,106.8832087,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Wijaya Kusuma,clinic,-6.1860814,106.8203527,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Tunas Bangsa,clinic,-6.1848542,106.817353,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dahlia,clinic,-6.1844335,106.8141467,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.1361298,106.8016376,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati RW 03,clinic,-6.2252148,106.8912126,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.2342743,106.8835521,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Perkutut,clinic,-6.2391849,106.8808492,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cucak Rowo I,clinic,-6.2351824,106.8804134,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 04,clinic,-6.2355644,106.8825611,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Srigunting,clinic,-6.2344789,106.8805227,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kutilang 1,clinic,-6.2271532,106.8774208,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Rajawali,clinic,-6.2236602,106.8836693,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Gelatik,clinic,-6.220844,106.8855902,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Beo,clinic,-6.2258615,106.8790115,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati RW 04,clinic,-6.2208896,106.8898525,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Wijaya Kusuma RW 08,clinic,-6.2176742,106.8930567,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Flamboyan II RW 05,clinic,-6.2149066,106.8943347,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Anugrah,clinic,-6.1464178,106.8047201,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mandiri Nusa Indah VIII,clinic,-6.1465188,106.8064857,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Nusa Indah I,clinic,-6.145341,106.8065098,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.1716224,106.8552096,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.1703047,106.8552251,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.1694719,106.8052205,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Aster A Aster B,clinic,-6.1781493,106.8104115,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cempaka,clinic,-6.1717755,106.8513738,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.1901266,106.8207865,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.1877981,106.821962,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dahlia,clinic,-6.190224,106.8128425,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Kemuning,clinic,-6.1947425,106.8140481,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cempaka I,clinic,-6.1752069,106.7331433,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek I,clinic,-6.1961909,106.8700253,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati Putih,clinic,-6.1647058,106.8622133,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Lavender,clinic,-6.2135266,106.8784168,Daerah Khusus Ibukota Jakarta,DKI Jakarta
"Posyandu Uni I,II, dan III",clinic,-6.2093276,106.8834999,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.2084623,106.8775508,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cempaka,clinic,-6.1763996,106.9505994,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar Merah,clinic,-6.1630429,106.8595492,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.2122388,106.8149668,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Bougenville,clinic,-6.2046079,106.8932531,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Sehat Babussalam,clinic,-6.2023094,106.8882407,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Tansera 09,clinic,-6.1532567,106.8083739,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati RW 013,clinic,-6.2072452,106.8858265,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 01,clinic,-6.205886,106.8868965,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar IB,clinic,-6.2088868,106.8962969,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Bina Sejahtera RW 015,clinic,-6.2094644,106.8939889,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mekar Sari II,clinic,-6.2042346,106.8968868,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Radioterapi RS Darmais,clinic,-6.1861661,106.7978811,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Sakura RW 016,clinic,-6.2124918,106.892676,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Menur RW 09,clinic,-6.212916,106.8914196,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cempaka,clinic,-6.2128438,106.89387,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek,clinic,-6.167616,106.8526894,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.1627686,106.8554869,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Menur,clinic,-6.201013,106.8713664,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kenanga,clinic,-6.2080588,106.8720401,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.2109447,106.8748283,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati Rw 03,clinic,-6.1331316,106.8084531,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 02,clinic,-6.2103311,106.7945998,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 08,clinic,-6.1632903,106.8000211,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 12,clinic,-6.1615904,106.8015986,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 09,clinic,-6.1620782,106.7988548,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Flamboyan 06,clinic,-6.1696093,106.8136012,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kenanga,clinic,-6.1949351,106.8844635,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 012,clinic,-6.1989689,106.8817088,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu anggrek,clinic,-6.2002391,106.8878341,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anyelir,clinic,-6.1974841,106.8883365,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu II,clinic,-6.2014407,106.877788,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Wijaya Kusuma,clinic,-6.1961071,106.8904281,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Bougenvile,clinic,-6.164711,106.8500749,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dahlia,clinic,-6.1558656,106.8561295,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dahlia,clinic,-6.1532323,106.8582607,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kenanga,clinic,-6.1624989,106.8528,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek,clinic,-6.1612399,106.8542628,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.1579785,106.8555308,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati RW 07,clinic,-6.1940762,106.891753,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Hasanah RW 06,clinic,-6.1988276,106.8945531,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Nusa Indah RW 02,clinic,-6.1910639,106.8954316,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mutiara Bunda RW 01,clinic,-6.1919779,106.8930016,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 06,clinic,-6.1900347,106.8904157,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 04,clinic,-6.1904691,106.8865494,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Ria Balita,clinic,-6.2059778,106.8963853,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mekar II,clinic,-6.1906323,106.903927,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kuntum Mawar,clinic,-6.1905833,106.9039142,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Nusa Indah,clinic,-6.190494,106.8072695,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.2007588,106.80332,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.2015254,106.8058446,Daerah Khusus Ibukota Jakarta,DKI Jakarta
